,order_id,order_placement_date,customer_id,customer_name,city,product_id,product_name,category,order_qty,agreed_delivery_date,actual_delivery_date,delivery_qty,Item_In_Full,Item_On_Time,Item_On_Time_In_Full,ord_on_time,ord_in_full,ord_otif,Amount_INR
0,FMR34203601,2025-03-01,789203,Rel Fresh,Vadodara,25891601,AM Tea 500,beverages,110,2025-03-04,2025-03-04,110,1,1,1,1,1,1,225.0
1,FMR32320302,2025-03-01,789320,Whole Foods Market,"New Jersey, US",25891203,AM Butter 500,Dairy,347,2025-03-02,2025-03-02,347,1,1,1,1,1,1,256616.91
2,FMR33320501,2025-03-01,789320,Whole Foods Market,"New Jersey, US",25891203,AM Butter 500,Dairy,187,2025-03-03,2025-03-03,150,0,1,0,1,0,0,110929.5
3,FMR34220601,2025-03-01,789220,ShopRite,"New Jersey, US",25891203,AM Butter 500,Dairy,235,2025-03-04,2025-03-04,235,1,1,1,1,1,1,173789.55
4,FMR33703603,2025-03-01,789703,Sorefoz Mart,Vadodara,25891203,AM Butter 500,Dairy,176,2025-03-03,2025-03-03,176,1,1,1,1,1,1,300.0
5,FMR33721603,2025-03-01,789721,Logic Stores,Ahmedabad,25891203,AM Butter 500,Dairy,345,2025-03-03,2025-03-03,345,1,1,1,1,1,1,300.0
6,FMR33420203,2025-03-01,789420,Lidl,"New Jersey, US",25891203,AM Butter 500,Dairy,138,2025-03-03,2025-03-06,138,1,0,0,0,1,0,102055.14
7,FMR34420402,2025-03-01,789420,Lidl,"New Jersey, US",25891203,AM Butter 500,Dairy,381,2025-03-04,2025-03-05,381,1,0,0,0,1,0,281760.93
8,FMR32403401,2025-03-01,789403,Propel Mart,Vadodara,25891203,AM Butter 500,Dairy,348,2025-03-02,2025-03-02,348,1,1,1,1,1,1,300.0
9,FMR34121203,2025-03-01,789121,Coolblue,Ahmedabad,25891203,AM Butter 500,Dairy,480,2025-03-04,2025-03-06,480,1,0,0,0,1,0,300.0
10,FMR32501601,2025-03-01,789501,Best Market,"New Jersey, US",25891203,AM Butter 500,Dairy,478,2025-03-02,2025-03-02,478,1,1,1,1,0,0,353495.33999999997
11,FMR34501203,2025-03-01,789501,Best Market,"New Jersey, US",25891203,AM Butter 500,Dairy,491,2025-03-04,2025-03-04,491,1,1,1,1,1,1,363109.23
12,FMR34102602,2025-03-01,789102,Vijay Stores,Ahmedabad,25891203,AM Butter 500,Dairy,407,2025-03-04,2025-03-04,387,0,1,0,1,0,0,300.0
13,FMR33902203,2025-03-01,789902,Elite Mart,Ahmedabad,25891203,AM Butter 500,Dairy,299,2025-03-03,2025-03-03,299,1,1,1,1,0,0,300.0
14,FMR34903603,2025-03-01,789903,Elite Mart,Vadodara,25891203,AM Butter 500,Dairy,329,2025-03-04,2025-03-04,329,1,1,1,1,0,0,300.0
15,FMR32421203,2025-03-01,789421,Lotus Mart,Ahmedabad,25891203,AM Butter 500,Dairy,441,2025-03-02,2025-03-03,419,0,0,0,0,0,0,300.0
16,FMR33421203,2025-03-01,789421,Lotus Mart,Ahmedabad,25891203,AM Butter 500,Dairy,104,2025-03-03,2025-03-06,99,0,0,0,0,0,0,300.0
17,FMR33402203,2025-03-01,789402,Propel Mart,Ahmedabad,25891203,AM Butter 500,Dairy,491,2025-03-03,2025-03-05,491,1,0,0,0,1,0,300.0
